,genome_name,source,species,resistance_profile,ST,location
SRR27388098,EPNK013,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",10,Thailand:Nong Khai
SRR27388099,EPNK011,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",167,Thailand:Nong Khai
SRR27388100,EPNK010,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",163,Thailand:Nong Khai
SRR27388101,EPNK009,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",376,Thailand:Nong Khai
SRR27388102,EPNK008,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",315,Thailand:Nong Khai
SRR27388103,EPNK007,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",167,Thailand:Nong Khai
SRR27388104,EPNK005,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",Novel ST,Thailand:Nong Khai
SRR27388105,EPNK004,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",Novel ST,Thailand:Nong Khai
SRR27388110,EPMN193,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",93,Thailand:Nakhon Ratchasima
SRR27388112,EPMN182,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",529,Thailand:Nakhon Ratchasima
SRR27388114,EPMN174,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",203,Thailand:Nakhon Ratchasima
SRR27388124,SH023,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",70,Thailand:Khon Kaen
SRR27388125,SH022,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",654,Thailand:Khon Kaen
SRR27388126,SH021,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",654,Thailand:Khon Kaen
SRR27388127,SH020,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",654,Thailand:Khon Kaen
SRR27388130,SH018,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",174,Thailand:Khon Kaen
SRR27388131,SH017,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",70,Thailand:Khon Kaen
SRR27388132,SH016,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",70,Thailand:Khon Kaen
SRR27388136,SH012,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",Novel ST,Thailand:Khon Kaen
SRR27388137,SH011,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",526,Thailand:Khon Kaen
SRR27388138,SH010,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",526,Thailand:Khon Kaen
SRR27388139,SH009,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",526,Thailand:Khon Kaen
SRR27388141,SH008,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",70,Thailand:Khon Kaen
SRR27388142,SH007,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",70,Thailand:Khon Kaen
SRR32783430,SRR32783430,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, SXT, MEM",,
SRR32783431,SRR32783431,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, MEM",,
SRR32783432,SRR32783432,Patient,B. pseudomallei,"Resistant to SXT, MEM; Susceptible to AMC, CAZ",,
SRR32783433,SRR32783433,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, SXT, MEM ",,
SRR32783434,SRR32783434,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, SXT, MEM",,
