,genome_name,source,species,resistance_profile,ST,location
SRR27387773,EPNK056,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",874,Thailand:Nong Khai
SRR27387774,EPNK055,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",58,Thailand:Nong Khai
SRR27387775,EPNK052,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",1827,Thailand:Nong Khai
SRR27387776,EPNK049,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",306,Thailand:Nong Khai
SRR27387777,EPNK047,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",511,Thailand:Nong Khai
SRR27387778,EPNK046,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",167,Thailand:Nong Khai
SRR27387780,EPNK044,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",10,Thailand:Nong Khai
SRR27387781,EPNK039,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",99,Thailand:Nong Khai
SRR27387782,EPNK038,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",511,Thailand:Nong Khai
SRR27387786,EPCP163,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",1421,Thailand:Chaiyaphum
SRR27387811,EPBR064,Patient,B. pseudomallei,"Resistant to AMC, SXT; Susceptible to CAZ; Not determined: IPM",93,Thailand:Buri Ram
SRR27387814,EPBR048,Patient,B. pseudomallei,"Resistant to AMC, SXT; Susceptible to CAZ; Not determined: IPM",93,Thailand:Buri Ram
SRR27387815,SH111,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",54,Thailand:Khon Kaen
SRR27387816,SH110,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",1397,Thailand:Khon Kaen
SRR27387817,SH109,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",Novel ST,Thailand:Khon Kaen
SRR27387819,SH108,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",365,Thailand:Khon Kaen
SRR27387820,SH107,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",512,Thailand:Khon Kaen
SRR27387821,SH106,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",10,Thailand:Khon Kaen
SRR27387822,SH105,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",70,Thailand:Khon Kaen
SRR27387823,SH104,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",Novel ST,Thailand:Khon Kaen
SRR27387824,SH103,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",54,Thailand:Khon Kaen
SRR27387825,SH102,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",46,Thailand:Khon Kaen
SRR27387826,SH101,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",46,Thailand:Khon Kaen
SRR27387827,SH100,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",Novel ST,Thailand:Khon Kaen
SRR27387828,SH099,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",46,Thailand:Khon Kaen
SRR27387830,SH098,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",46,Thailand:Khon Kaen
SRR27387831,SH097,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",23,Thailand:Khon Kaen
SRR27387832,SH096,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",52,Thailand:Khon Kaen
SRR27387833,SH095,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",219,Thailand:Khon Kaen
SRR27387834,SH094,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",219,Thailand:Khon Kaen
SRR27387835,SH093,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",219,Thailand:Khon Kaen
SRR27387836,SH092,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",498,Thailand:Khon Kaen
SRR27387837,SH091,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",498,Thailand:Khon Kaen
SRR27387838,SH090,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",512,Thailand:Khon Kaen
SRR27387839,SH089,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",512,Thailand:Khon Kaen
SRR27387841,SH088,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",206,Thailand:Khon Kaen
SRR27387842,SH087,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",206,Thailand:Khon Kaen
SRR27387843,SH086,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",70,Thailand:Khon Kaen
SRR27387844,SH085,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",365,Thailand:Khon Kaen
SRR27387845,SH084,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",492,Thailand:Khon Kaen
SRR27387846,SH083,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",54,Thailand:Khon Kaen
SRR27387847,SH053,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",512,Thailand:Khon Kaen
SRR27387848,SH052,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",512,Thailand:Khon Kaen
SRR27387849,SH051,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",512,Thailand:Khon Kaen
SRR27387850,SH050,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",512,Thailand:Khon Kaen
SRR27387851,SH049,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",512,Thailand:Khon Kaen
SRR27387854,SH048,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",306,Thailand:Khon Kaen
SRR27387855,SH047,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",306,Thailand:Khon Kaen
SRR27387856,SH046,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",306,Thailand:Khon Kaen
SRR27387857,SH045,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",34,Thailand:Khon Kaen
SRR27387858,SH044,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",34,Thailand:Khon Kaen
SRR27387859,SH043,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",34,Thailand:Khon Kaen
SRR27387860,SH042,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",34,Thailand:Khon Kaen
SRR27387861,SH041,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",34,Thailand:Khon Kaen
SRR27387862,SH040,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",500,Thailand:Khon Kaen
SRR27387863,SH039,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",500,Thailand:Khon Kaen
SRR27387865,SH038,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",56,Thailand:Khon Kaen
SRR27387866,SH037,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",512,Thailand:Khon Kaen
SRR27387867,SH036,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",512,Thailand:Khon Kaen
SRR27387868,SH035,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",70,Thailand:Khon Kaen
SRR27387869,SH034,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",70,Thailand:Khon Kaen
SRR27387870,SH033,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",831,Thailand:Khon Kaen
SRR27387871,SH032,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",17,Thailand:Khon Kaen
SRR27387872,SH031,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",Novel ST,Thailand:Khon Kaen
SRR27387873,SH030,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",Novel ST,Thailand:Khon Kaen
SRR27387874,SH029,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",33,Thailand:Khon Kaen
SRR27387876,SH028,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",33,Thailand:Khon Kaen
SRR27387877,SH027,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",34,Thailand:Khon Kaen
SRR27387878,SH026,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",34,Thailand:Khon Kaen
SRR27387929,EPSK086,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",Novel ST,Thailand:Sisaket
SRR27387930,EPSK081,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",167,Thailand:Sisaket
SRR27387931,EPSK077,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",93,Thailand:Sisaket
SRR27387932,EPSK073,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",Novel ST,Thailand:Sisaket
SRR27387933,EPSK069,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",54,Thailand:Sisaket
SRR27387934,EPSK065,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",512,Thailand:Sisaket
SRR27387935,EPSK060,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",33,Thailand:Sisaket
SRR27387936,EPSK058,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",10,Thailand:Sisaket
SRR27387938,EPSK054,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",654,Thailand:Sisaket
SRR27387939,EPSK052,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",654,Thailand:Sisaket
SRR27387940,EPSK048,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",174,Thailand:Sisaket
SRR27387941,EPSK040,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",70,Thailand:Sisaket
SRR27387942,EPSK039,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",520,Thailand:Sisaket
SRR27387945,EPMN131,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",167,Thailand:Nakhon Ratchasima
SRR27387946,EPMN130,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",23,Thailand:Nakhon Ratchasima
SRR27387950,EPMN110,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",Novel ST,Thailand:Nakhon Ratchasima
SRR27387953,EPMN107,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",511,Thailand:Nakhon Ratchasima
SRR27387955,EPMN102,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",529,Thailand:Nakhon Ratchasima
SRR27387961,EPMN081,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",306,Thailand:Nakhon Ratchasima
SRR27387964,EPMN069,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",99,Thailand:Nakhon Ratchasima
SRR27387965,EPMN061,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",203,Thailand:Nakhon Ratchasima
SRR27387985,EPBR017,Patient,B. pseudomallei,"Resistant to AMC, SXT; Susceptible to CAZ; Not determined: IPM",70,Thailand:Buri Ram
SRR27387987,EPBR012,Patient,B. pseudomallei,"Resistant to AMC, SXT; Susceptible to CAZ; Not determined: IPM",306,Thailand:Buri Ram
SRR27387990,EPBR007,Patient,B. pseudomallei,"Resistant to AMC, SXT; Susceptible to CAZ, IPM",17,Thailand:Buri Ram
SRR27387992,EPAC071,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",219,Thailand:Amnat Charoen
